
Pavarde       Vardas         Galutinis (Vid.)    Galutinis (Med.)    
------------------------------------------------------------------
Pavarde1       Vardas1        x.xx                3.80                
Pavarde2       Vardas2        x.xx                6.20                
Pavarde3       Vardas3        x.xx                5.80                
Pavarde4       Vardas4        x.xx                3.40                
Pavarde5       Vardas5        x.xx                7.40                
Pavarde6       Vardas6        x.xx                3.20                
Pavarde7       Vardas7        x.xx                8.20                
Pavarde8       Vardas8        x.xx                3.00                
Pavarde9       Vardas9        x.xx                7.00                
Pavarde10      Vardas10       x.xx                4.40                
Pavarde11      Vardas11       x.xx                3.40                
Pavarde12      Vardas12       x.xx                8.40                
Pavarde13      Vardas13       x.xx                5.40                
Pavarde14      Vardas14       x.xx                2.60                
Pavarde15      Vardas15       x.xx                6.40                
Pavarde16      Vardas16       x.xx                6.60                
Pavarde17      Vardas17       x.xx                6.20                
Pavarde18      Vardas18       x.xx                8.80                
Pavarde19      Vardas19       x.xx                8.40                
Pavarde20      Vardas20       x.xx                7.60                
Pavarde21      Vardas21       x.xx                7.20                
Pavarde22      Vardas22       x.xx                6.60                
Pavarde23      Vardas23       x.xx                6.80                
Pavarde24      Vardas24       x.xx                5.80                
Pavarde25      Vardas25       x.xx                8.20                
Pavarde26      Vardas26       x.xx                4.40                
Pavarde27      Vardas27       x.xx                6.60                
Pavarde28      Vardas28       x.xx                4.60                
Pavarde29      Vardas29       x.xx                5.20                
Pavarde30      Vardas30       x.xx                6.60                
Pavarde31      Vardas31       x.xx                3.60                
Pavarde32      Vardas32       x.xx                5.20                
Pavarde33      Vardas33       x.xx                5.80                
Pavarde34      Vardas34       x.xx                4.80                
Pavarde35      Vardas35       x.xx                3.40                
Pavarde36      Vardas36       x.xx                9.20                
Pavarde37      Vardas37       x.xx                3.60                
Pavarde38      Vardas38       x.xx                4.60                
Pavarde39      Vardas39       x.xx                2.60                
Pavarde40      Vardas40       x.xx                2.20                
Pavarde41      Vardas41       x.xx                6.60                
Pavarde42      Vardas42       x.xx                4.20                
Pavarde43      Vardas43       x.xx                4.80                
Pavarde44      Vardas44       x.xx                6.80                
Pavarde45      Vardas45       x.xx                6.40                
Pavarde46      Vardas46       x.xx                8.80                
Pavarde47      Vardas47       x.xx                6.20                
Pavarde48      Vardas48       x.xx                2.60                
Pavarde49      Vardas49       x.xx                2.20                
Pavarde50      Vardas50       x.xx                4.60                
Pavarde51      Vardas51       x.xx                7.60                
Pavarde52      Vardas52       x.xx                6.40                
Pavarde53      Vardas53       x.xx                3.00                
Pavarde54      Vardas54       x.xx                5.60                
Pavarde55      Vardas55       x.xx                7.00                
Pavarde56      Vardas56       x.xx                5.40                
Pavarde57      Vardas57       x.xx                5.40                
Pavarde58      Vardas58       x.xx                5.20                
Pavarde59      Vardas59       x.xx                5.00                
Pavarde60      Vardas60       x.xx                6.00                
Pavarde61      Vardas61       x.xx                6.40                
Pavarde62      Vardas62       x.xx                8.40                
Pavarde63      Vardas63       x.xx                6.20                
Pavarde64      Vardas64       x.xx                7.00                
Pavarde65      Vardas65       x.xx                3.80                
Pavarde66      Vardas66       x.xx                5.60                
Pavarde67      Vardas67       x.xx                8.80                
Pavarde68      Vardas68       x.xx                4.40                
Pavarde69      Vardas69       x.xx                8.60                
Pavarde70      Vardas70       x.xx                3.40                
Pavarde71      Vardas71       x.xx                7.80                
Pavarde72      Vardas72       x.xx                5.20                
Pavarde73      Vardas73       x.xx                8.00                
Pavarde74      Vardas74       x.xx                3.20                
Pavarde75      Vardas75       x.xx                7.00                
Pavarde76      Vardas76       x.xx                6.20                
