
Pavarde       Vardas         Galutinis (Vid.)    Galutinis (Med.)    
------------------------------------------------------------------
Pavarde2       Vardas2        x.xx                6.20                
Pavarde3       Vardas3        x.xx                5.80                
Pavarde5       Vardas5        x.xx                7.40                
Pavarde7       Vardas7        x.xx                8.20                
Pavarde9       Vardas9        x.xx                7.00                
Pavarde12      Vardas12       x.xx                8.40                
Pavarde13      Vardas13       x.xx                5.40                
Pavarde15      Vardas15       x.xx                6.40                
Pavarde16      Vardas16       x.xx                6.60                
Pavarde17      Vardas17       x.xx                6.20                
Pavarde18      Vardas18       x.xx                8.80                
Pavarde19      Vardas19       x.xx                8.40                
Pavarde20      Vardas20       x.xx                7.60                
Pavarde21      Vardas21       x.xx                7.20                
Pavarde22      Vardas22       x.xx                6.60                
Pavarde23      Vardas23       x.xx                6.80                
Pavarde24      Vardas24       x.xx                5.80                
Pavarde25      Vardas25       x.xx                8.20                
Pavarde27      Vardas27       x.xx                6.60                
Pavarde29      Vardas29       x.xx                5.20                
Pavarde30      Vardas30       x.xx                6.60                
Pavarde32      Vardas32       x.xx                5.20                
Pavarde33      Vardas33       x.xx                5.80                
Pavarde36      Vardas36       x.xx                9.20                
Pavarde41      Vardas41       x.xx                6.60                
Pavarde44      Vardas44       x.xx                6.80                
Pavarde45      Vardas45       x.xx                6.40                
Pavarde46      Vardas46       x.xx                8.80                
Pavarde47      Vardas47       x.xx                6.20                
Pavarde51      Vardas51       x.xx                7.60                
Pavarde52      Vardas52       x.xx                6.40                
Pavarde54      Vardas54       x.xx                5.60                
Pavarde55      Vardas55       x.xx                7.00                
Pavarde56      Vardas56       x.xx                5.40                
Pavarde57      Vardas57       x.xx                5.40                
Pavarde58      Vardas58       x.xx                5.20                
Pavarde59      Vardas59       x.xx                5.00                
Pavarde60      Vardas60       x.xx                6.00                
Pavarde61      Vardas61       x.xx                6.40                
Pavarde62      Vardas62       x.xx                8.40                
Pavarde63      Vardas63       x.xx                6.20                
Pavarde64      Vardas64       x.xx                7.00                
Pavarde66      Vardas66       x.xx                5.60                
Pavarde67      Vardas67       x.xx                8.80                
Pavarde69      Vardas69       x.xx                8.60                
Pavarde71      Vardas71       x.xx                7.80                
Pavarde72      Vardas72       x.xx                5.20                
Pavarde73      Vardas73       x.xx                8.00                
Pavarde75      Vardas75       x.xx                7.00                
Pavarde76      Vardas76       x.xx                6.20                
Pavarde78      Vardas78       x.xx                8.00                
Pavarde80      Vardas80       x.xx                7.20                
Pavarde84      Vardas84       x.xx                5.00                
Pavarde86      Vardas86       x.xx                5.60                
Pavarde87      Vardas87       x.xx                7.00                
