
Pavarde       Vardas         Galutinis (Vid.)    Galutinis (Med.)    
------------------------------------------------------------------
Pavarde1       Vardas1        x.xx                3.80                
Pavarde4       Vardas4        x.xx                3.40                
Pavarde6       Vardas6        x.xx                3.20                
Pavarde8       Vardas8        x.xx                3.00                
Pavarde10      Vardas10       x.xx                4.40                
Pavarde11      Vardas11       x.xx                3.40                
Pavarde14      Vardas14       x.xx                2.60                
Pavarde26      Vardas26       x.xx                4.40                
Pavarde28      Vardas28       x.xx                4.60                
Pavarde31      Vardas31       x.xx                3.60                
Pavarde34      Vardas34       x.xx                4.80                
Pavarde35      Vardas35       x.xx                3.40                
Pavarde37      Vardas37       x.xx                3.60                
Pavarde38      Vardas38       x.xx                4.60                
Pavarde39      Vardas39       x.xx                2.60                
Pavarde40      Vardas40       x.xx                2.20                
Pavarde42      Vardas42       x.xx                4.20                
Pavarde43      Vardas43       x.xx                4.80                
Pavarde48      Vardas48       x.xx                2.60                
Pavarde49      Vardas49       x.xx                2.20                
Pavarde50      Vardas50       x.xx                4.60                
Pavarde53      Vardas53       x.xx                3.00                
Pavarde65      Vardas65       x.xx                3.80                
Pavarde68      Vardas68       x.xx                4.40                
Pavarde70      Vardas70       x.xx                3.40                
Pavarde74      Vardas74       x.xx                3.20                
Pavarde77      Vardas77       x.xx                4.20                
Pavarde79      Vardas79       x.xx                4.40                
Pavarde81      Vardas81       x.xx                4.00                
Pavarde82      Vardas82       x.xx                2.80                
Pavarde83      Vardas83       x.xx                4.60                
Pavarde85      Vardas85       x.xx                4.40                
Pavarde96      Vardas96       x.xx                4.40                
Pavarde101     Vardas101      x.xx                4.60                
Pavarde105     Vardas105      x.xx                4.00                
Pavarde107     Vardas107      x.xx                4.00                
Pavarde111     Vardas111      x.xx                2.60                
Pavarde114     Vardas114      x.xx                4.80                
Pavarde119     Vardas119      x.xx                4.00                
Pavarde121     Vardas121      x.xx                3.40                
Pavarde123     Vardas123      x.xx                3.60                
Pavarde125     Vardas125      x.xx                4.20                
Pavarde126     Vardas126      x.xx                3.40                
Pavarde129     Vardas129      x.xx                4.40                
Pavarde131     Vardas131      x.xx                3.40                
Pavarde132     Vardas132      x.xx                2.20                
Pavarde134     Vardas134      x.xx                4.00                
Pavarde138     Vardas138      x.xx                3.40                
Pavarde139     Vardas139      x.xx                3.80                
Pavarde140     Vardas140      x.xx                2.60                
Pavarde141     Vardas141      x.xx                2.80                
Pavarde142     Vardas142      x.xx                3.00                
Pavarde144     Vardas144      x.xx                3.60                
Pavarde147     Vardas147      x.xx                2.20                
Pavarde149     Vardas149      x.xx                4.00                
Pavarde150     Vardas150      x.xx                3.40                
Pavarde151     Vardas151      x.xx                3.20                
Pavarde152     Vardas152      x.xx                4.40                
Pavarde154     Vardas154      x.xx                3.00                
Pavarde155     Vardas155      x.xx                2.20                
Pavarde160     Vardas160      x.xx                3.20                
Pavarde161     Vardas161      x.xx                4.80                
Pavarde162     Vardas162      x.xx                4.80                
Pavarde165     Vardas165      x.xx                4.60                
Pavarde168     Vardas168      x.xx                3.00                
Pavarde171     Vardas171      x.xx                4.80                
Pavarde172     Vardas172      x.xx                3.00                
Pavarde180     Vardas180      x.xx                3.80                
Pavarde182     Vardas182      x.xx                3.00                
Pavarde183     Vardas183      x.xx                2.20                
Pavarde184     Vardas184      x.xx                3.00                
Pavarde189     Vardas189      x.xx                4.40                
Pavarde190     Vardas190      x.xx                4.80                
Pavarde191     Vardas191      x.xx                3.40                
Pavarde192     Vardas192      x.xx                4.60                
Pavarde196     Vardas196      x.xx                2.60                
